Month,Day,Inquirer.net,Manila Bulletin,The Asian Journal USA,The Manila Times,Business World,Eagle News,Metro Cebu News,Tempo,Abante Tonite,Philippine News Agency,InterAksyon,Business Mirror,The Summit Express,Our Daily News Online,Current PH,SunStar Philippines,Rappler,The Bohol Chronicle,Baguio Midland Courier,GMA News Online,Cebu Daily News,ABS-CBN News,Philstar.com,Manila Standard,Daily Tribune,Davao Today,Sunday Punch,Visayan Daily Star,PTV News,Mindanao Times,PhilNews.XYZ,Northern Dispatch
March,7,0,0,0,319,18,0,3,0,0,0,2,15,0,0,0,11,5,0,0,3,1,7,25,17,15,0,0,1,2,0,0,0
March,8,0,0,0,347,11,0,3,0,0,0,1,20,1,0,0,14,7,0,0,6,3,9,33,14,17,0,0,1,2,0,0,0
March,9,0,0,0,197,2,0,0,0,0,0,0,10,0,0,0,7,4,0,0,3,1,2,22,13,16,1,0,0,0,0,0,0
March,10,0,0,0,30,5,0,0,0,0,0,2,8,0,0,0,6,5,0,0,2,1,2,16,15,10,0,2,0,0,0,0,0
March,11,0,0,0,44,25,0,2,0,0,0,4,20,0,0,0,12,9,0,0,5,1,8,19,13,12,1,0,1,0,0,0,0
March,12,0,0,0,293,19,0,0,0,0,0,0,16,0,0,0,13,4,0,0,8,0,10,20,14,5,2,0,1,2,0,0,0
March,13,0,0,0,364,14,0,3,0,0,0,1,22,0,0,0,12,9,0,0,7,4,9,22,13,13,1,0,1,1,0,0,0
March,14,0,0,0,306,19,0,0,0,0,0,2,17,0,0,0,12,4,0,0,12,3,16,32,24,15,0,0,2,1,0,0,0
March,15,0,0,0,325,10,0,1,0,0,0,1,14,2,0,0,8,7,0,0,10,5,12,36,22,24,0,0,0,1,0,0,0
March,16,0,0,0,208,0,0,0,0,0,0,0,6,0,0,0,8,3,0,0,7,3,6,17,5,10,0,0,0,0,0,0,0
March,17,0,0,0,24,8,0,0,0,0,0,0,5,0,0,0,8,5,0,0,2,1,3,10,9,19,0,1,0,0,0,0,0
March,18,0,0,0,49,20,0,2,0,0,0,0,17,0,0,1,6,9,1,0,3,1,7,24,19,14,0,0,1,1,0,0,0
March,19,0,0,0,320,12,0,0,0,0,0,0,20,0,0,0,16,9,0,0,12,0,7,19,9,14,0,0,1,0,0,0,0
March,20,0,0,0,369,18,0,3,0,0,0,2,22,0,0,0,16,9,0,0,9,3,9,19,12,14,0,0,2,1,0,0,0
March,21,0,0,0,328,16,0,0,0,0,0,1,20,0,0,0,14,7,0,0,9,2,12,26,17,15,0,0,1,2,0,0,0
March,22,0,0,0,307,10,0,1,0,0,0,2,22,0,0,0,9,4,0,0,5,3,12,31,18,18,0,0,1,0,0,0,0
March,23,0,0,0,209,0,0,0,0,0,0,1,4,0,0,0,8,4,0,0,2,2,2,19,8,12,0,0,0,0,0,0,0
March,24,0,0,0,26,7,0,0,0,0,0,0,6,0,0,0,2,2,0,0,2,0,1,17,12,10,0,3,0,0,0,0,0
March,25,0,0,0,41,26,0,2,0,0,0,2,11,0,0,0,7,7,0,0,3,0,2,16,13,8,0,0,0,0,0,0,0
March,26,0,0,0,257,5,0,2,0,0,0,1,20,0,0,0,11,4,0,0,4,4,6,28,17,12,0,1,1,1,0,0,0
