Month,Day,Inquirer.net,Manila Bulletin,The Asian Journal USA,The Manila Times,Business World,Eagle News,Metro Cebu News,Tempo,Abante Tonite,Philippine News Agency,InterAksyon,Business Mirror,The Summit Express,Our Daily News Online,Current PH,SunStar Philippines,Rappler,The Bohol Chronicle,Baguio Midland Courier,GMA News Online,Cebu Daily News,ABS-CBN News,Philstar.com,Manila Standard,Daily Tribune,Davao Today,Sunday Punch,Visayan Daily Star,PTV News,Mindanao Times,PhilNews.XYZ,Northern Dispatch
April,8,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0
April,9,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,1,2,0,0,0,0,0,0,0
April,10,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0
April,11,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,1,2,0,0,0,0,0,0,0
April,12,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,2,0,1,3,3,2,0,0,0,0,0,0,0
April,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,3,0,0,0,0,0,0,0
April,14,0,0,0,2,1,0,0,0,0,0,0,2,0,0,0,1,1,0,0,1,1,3,3,2,3,0,0,0,0,0,0,0
April,15,0,0,0,5,1,0,0,0,0,0,0,2,0,0,0,1,2,0,0,3,1,2,5,1,5,0,0,0,0,0,0,0
April,16,0,0,0,2,3,0,0,0,0,0,0,2,0,0,0,0,1,0,0,4,0,2,6,2,4,1,0,0,0,0,0,0
April,17,0,0,0,4,3,0,0,0,0,0,0,3,0,0,0,0,2,0,0,4,0,2,3,1,5,0,0,1,1,0,0,0
April,18,0,0,0,3,3,0,0,0,0,0,0,1,0,0,0,0,1,0,0,6,1,3,5,1,7,0,0,0,1,0,0,0
April,19,0,0,0,4,1,0,0,0,0,0,0,5,0,0,0,4,2,0,0,2,1,1,2,3,2,0,0,0,1,0,0,0
April,20,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,4,1,2,0,0,0,0,0,0,0
April,21,0,0,0,1,1,0,0,0,0,0,1,3,0,0,0,0,2,0,0,0,0,0,2,2,1,0,0,0,0,0,0,0
April,22,0,0,0,3,1,0,0,0,0,0,0,2,0,0,0,0,1,0,0,2,0,1,2,1,5,0,0,0,1,0,0,0
April,23,0,0,0,4,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
April,24,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,1,0,0,0,1,0,0,3,1,2,0,0,1,0,0,0,0
April,25,0,0,0,2,1,0,0,0,0,0,0,3,0,0,0,1,0,0,0,2,0,2,2,1,0,0,0,0,0,0,0,0
April,26,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,3,0,0,0,0,0,0,0
April,27,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
April,28,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0
April,29,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,4,1,0,0,2,1,6,2,1,4,0,0,0,1,0,0,0
April,30,0,0,0,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,3,0,2,0,0,0,0,0,0,0
